title,tags_manual
Москва направит доходы от новогодних мероприятий на поддержку СВО — Сергей Собянин,"Новогодние мероприятия, доходы, поддержка СВО"
Сергей Собянин: Студенты московских вузов и колледжей могут пройти стажировку на высокотехнологичных производствах в «Технополисе Москва»,"Студенты, стажировка, особая экономическая зона, сотрудничество, производство лекарств"
Около 25 тысяч семей воспользовались бесплатной помощью при переезде по программе реновации,"Реновация, переезд, услуги"
Около 200 тысяч рабочих мест появится в Москве благодаря программе реновации,"Реновация, рабочие места, вакансии"
Начался второй этап капитального ремонта Тульской эстакады,"Эстакада, ремонт, демонтаж, эксплуатация"
Сергей Собянин: Москвичи проголосуют за формат новогодних праздников в «Активном гражданине»,"Новогодние праздники, голосование, благотварительные ярмарки, поддержка малого бизнеса "
ОЭЗ «Технополис Москва» в 2022 году сдала в аренду около восьми тысяч квадратных метров помещений,"Особая экономическая зона, аренда, производства, рабочие места, инвестиции"
Москва стала лауреатом премии Investment Leaders Award за лучшее инвестиционное решение года,"Премия, инвестиционное решение, особая экономическая зона"
Снег с московских улиц убирают 60 тысяч сотрудников коммунальных служб и 10 тысяч единиц техники,"Снег, уборка, городские службы, помощь водителям"
Утвержден проект планировки нового жилого квартала по программе реновации в Зюзине,"Проект, территория, жилой квартал, программа реновации"
Возле Курского вокзала открылась выставка граффити «Со-единение»,"Курский вокзал, Винзавод, выставка, граффити, городская среда, современное искусство"
Около пяти тысяч машино-мест появилось в ТиНАО с начала 2022 года,"машино-место, паркинг, ТиНАО"
В Таганском районе появится новая парковка,"парковка, Таганский район, аукцион, торги, договор"
Город заключил с инвестором 11-й договор о выделении земли за рубль в год,"договор, инвестиционный проект, инвестор, предприниматель, бизнес"
Столичная компания создала систему для контроля работы общественного транспорта на основе нейросети,"мониторинг, нейросеть, проект, автоматизация, транспортное средство"
Эстакада — съезд на Нижегородскую улицу готова почти на две трети,"московский скоростной диаметр, эстакада, строительство"
Аддитивные технологии в производстве: открылась запись на новый курс «Московской технической школы»,"Московская техническая школа, проект, компьютерные технологии, предприятия, специалист"
На Русаковской улице построили дом по программе реновации,"дом, программа реновации, эксплуатация"
Семьи мобилизованных москвичей могут получить онлайн-консультации по вопросам оформления недвижимости,"консультация, мобилизованный, поддержка, услуга, родственник"
Передавать показания счетчиков воды в приложении «Моя Москва» стало проще,"Моя Москва, показания счетчиков, сервис, приложение"
